"Nr_A","Zmienna_A","Srednia_A","SD_A","Nr_B","Zmienna_B","Œrednia_B","SD_B","X","df","p","r"
"41","121","makaron.miejsce","136","platki.miejsce","160.048716713572","16","8.0387527197553e-26","0.631636231595326","121","makaron.miejsce","136","platki.miejsce"
"42","122","makaron.swiezosc","137","platki.swiezosc","175.513430381747","16","6.66688033983446e-29","0.713197629405757","122","makaron.swiezosc","137","platki.swiezosc"
"43","124","makaron.kraj","139","platki.kraj","107.384032125419","16","1.40646698793015e-15","0.541089129740215","124","makaron.kraj","139","platki.kraj"
"44","126","makaron.marka","141","platki.marka","87.1134728923981","16","8.48123573698946e-12","0.524270278960005","126","makaron.marka","141","platki.marka"
"45","130","makaron.obrobka","144","platki.obrobka","96.6628728839819","4","5.04716627306733e-20","0.623883465476188","130","makaron.obrobka","144","platki.obrobka"
"46","133","makaron.smak","134","makaron.jakosc","108.915147770569","4","1.23975831642108e-22","0.674968205906755","133","makaron.smak","134","makaron.jakosc"
"47","135","platki.cena","149","pieczywo.cena","111.329445130007","16","2.50546292962331e-16","0.564534178939527","135","platki.cena","149","pieczywo.cena"
"48","140","platki.blonnik","155","pieczywo.ziarna","65.791130031692","16","5.38208510323182e-08","0.501932464440999","140","platki.blonnik","155","pieczywo.ziarna"
"49","140","platki.blonnik","156","pieczywo.blonnik","212.889007847282","16","1.94273261021709e-36","0.84095582335257","140","platki.blonnik","156","pieczywo.blonnik"
"50","147","platki.smak","148","platki.jakosc","125.775652601014","4","3.11589038364778e-26","0.660427292752761","147","platki.smak","148","platki.jakosc"
"51","152","pieczywo.rodzaj","154","pieczywo.barwa","86.3758427615704","8","2.52441255559912e-15","0.548648219210516","152","pieczywo.rodzaj","154","pieczywo.barwa"
"52","155","pieczywo.ziarna","156","pieczywo.blonnik","146.647600891792","16","3.57329750135264e-23","0.611957020634559","155","pieczywo.ziarna","156","pieczywo.blonnik"
