"";"Lp";"kod";"Pytanie";"Minimum";"Maksimum";"Min";"Max";"n";"Œrednia";"SD"
"pieczywo.rodzaj";152;"pieczywo.rodzaj";"W jakim stopniu rodzaj pieczywa jest wa¿ny dla Pana Pani przy jego wyborze ";"Wcale";"W najwy¿szym stopniu";4;10;191;8,901;1,25
"pieczywo.kraj";153;"pieczywo.kraj";"W jakim stopniu kraj pochodzenia jest wa¿ny dla Pana Pani przy jego wyborze ";"Wcale";"W najwy¿szym stopniu";0;10;191;6,602;3,464
"pieczywo.barwa";154;"pieczywo.barwa";"W jakim stopniu kolor pieczywa jest wa¿ny dla Pana Pani przy jego wyborze ";"Wcale";"W najwy¿szym stopniu";0;10;191;8,12;1,939
"pieczywo.ziarna";155;"pieczywo.ziarna";"W jakim stopniu zawartoœæ ziaren jest wa¿na dla Pana Pani przy jego wyborze ";"Wcale";"W najwy¿szym stopniu";0;10;191;7,476;2,565
"pieczywo.blonnik";156;"pieczywo.blonnik";"W jakim stopniu zawartoœæ b³onnika jest wa¿na dla Pana Pani przy jego wyborze ";"Wcale";"W najwy¿szym stopniu";0;10;191;5,827;3,173
"pieczywo.sklep";157;"pieczywo.sklep";"Miejsce zakupu";"Robiê samodzielnie";"Hipermarket/supermarket";0;1;191;0,469;0,253
"pieczywo.spozycie";158;"pieczywo.spozycie";"Spo¿ycie pieczywa";"Nigdy";"2-3 razy dziennie";0;1;195;0,187;0,17
"pieczywo.opakowanie";159;"pieczywo.opakowanie";"Wygoda opakowania";"W ca³oœci bez opakowania";"Krojony w opakowaniu";0;1;187;0,249;0,426
"pieczywo.obrobka";160;"pieczywo.obrobka";"Czy Pana Pani zdaniem pieczywo jest trudne w samodzielnym przygotowaniu ";"Zdecydowanie nie";"Zdecydowanie tak";1;5;195;2,108;1,317
"pieczywo.potrawy";161;"pieczywo.potrawy";"Czy Pana Pani zdaniem pieczywo nadaje siê do przygotowania wielu potraw ";"Zdecydowanie nie";"Zdecydowanie tak";1;5;195;2,949;1,174
"pieczywo.zdrowotnosc";162;"pieczywo.zdrowotnosc";"Czy Pana Pani zdaniem pieczywo ma korzystny wp³yw na zdrowie ";"Zdecydowanie nie";"Zdecydowanie tak";1;5;195;3,369;0,962
"pieczywo.smak";163;"pieczywo.smak";"Czy Pana Pani zdaniem pieczywo dostêpne na polskim rynku jest smaczne ";"Zdecydowanie nie";"Zdecydowanie tak";1;5;195;4,379;0,806
"pieczywo.jakosc";164;"pieczywo.jakosc";"Czy Pana Pani zdaniem pieczywo dostêpne na polskim rynku ma dobr¹ jakoœæ ";"Zdecydowanie nie";"Zdecydowanie tak";1;5;195;4,338;0,759
