"";"Lp";"kod";"Pytanie";"Minimum";"Maksimum";"Min";"Max";"n";"Œrednia";"SD"
"jablko.barwa";91;"jablko.barwa";"W jakim stopniu kolor skórki jest wa¿ny dla Pana Pani przy ich wyborze";"Wcale";"W najwy¿szym stopniu";0;10;187;7,144;2,388
"jablko.miekkosc";92;"jablko.miekkosc";"W jakim stopniu miêkkoœæ jab³ek jest wa¿na dla Pana Pani przy ich wyborze ";"Wcale";"W najwy¿szym stopniu";0;10;187;7,342;2,367
"jablko.kwasnosc";93;"jablko.kwasnosc";"Jakie jab³ka Pan Pani wybiera ze wzglêdu na smak ";"S³odkie";"Kwaœne";1;7;187;3,759;1,763
"jablko.spozycie";94;"jablko.spozycie";"Spo¿ycie jab³ek";"Nigdy";"2-3 razy dziennie";0;1;195;0,139;0,157
"jablko.okres";95;"jablko.okres";"Sezonowoœæ/promocja przy zakupie";"Niezale¿nie od ceny i sezonu";"Zale¿nie od ceny i sezonu";0;1;195;0,154;0,362
"jablko.sklep";96;"jablko.sklep";"Miejsce zakupu";"Z ogródka/bezpoœrednio od rolnika";"Hipermarket/supermarket";0;1;187;0,5;0,311
"jablko.obrobka";97;"jablko.obrobka";"Czy Pana Pani zdaniem jab³ka s¹ trudne w obróbce ";"Zdecydowanie nie";"Zdecydowanie tak";1;5;195;1,718;0,895
"jablko.potrawy";98;"jablko.potrawy";"Czy Pana Pani zdaniem jab³ka nadaj¹ siê do przygotowania wielu potraw ";"Zdecydowanie nie";"Zdecydowanie tak";1;5;195;3,723;1,212
"jablko.zdrowotnosc";99;"jablko.zdrowotnosc";"Czy Pana Pani zdaniem jab³ka maj¹ korzystny wp³yw na zdrowie ";"Zdecydowanie nie";"Zdecydowanie tak";3;5;195;4,569;0,6
"jablko.smak";100;"jablko.smak";"Czy Pana Pani zdaniem jab³ka dostêpne na polskim rynku s¹ smaczne ";"Zdecydowanie nie";"Zdecydowanie tak";2;5;195;4,6;0,569
"jablko.jakosc";101;"jablko.jakosc";"Czy Pana Pani zdaniem jab³ka dostêpne na polskim rynku maj¹ dobr¹ jakoœæ ";"Zdecydowanie nie";"Zdecydowanie tak";3;5;195;4,6;0,531
"jablko.produkty";102;"jablko.produkty";"Ró¿norodnoœæ preferowanych produktów";"Ma³a";"Du¿a";0;1;195;0,431;0,268
"pomarancza.cena";103;"pomarancza.cena";"W jakim stopniu cena jest wa¿na dla Pana Pani przy ich wyborze";"Wcale";"W najwy¿szym stopniu";0;10;178;6,798;2,349
"pomarancza.miejsce";104;"pomarancza.miejsce";"W jakim stopniu miejsce zakupu jest wa¿ne dla Pana Pani przy ich wyborze";"Wcale";"W najwy¿szym stopniu";0;10;178;4,809;2,616
"pomarancza.swiezosc";105;"pomarancza.swiezosc";"W jakim stopniu œwie¿oœæ jest wa¿na dla Pana Pani przy ich wyborze";"Wcale";"W najwy¿szym stopniu";1;10;178;8,236;1,674
"pomarancza.rodzaj";106;"pomarancza.rodzaj";"W jakim stopniu wielkoœæ pomarañczy jest wa¿ny dla Pana Pani przy ich wyborze ";"Wcale";"W najwy¿szym stopniu";0;10;178;6,135;2,241
"pomarancza.kraj";107;"pomarancza.kraj";"W jakim stopniu kraj pochodzenia jest wa¿ny dla Pana Pani przy ich wyborze";"Wcale";"W najwy¿szym stopniu";0;10;178;4,697;2,856
"pomarancza.barwa";108;"pomarancza.barwa";"W jakim stopniu kolor skórki jest wa¿ny dla Pana Pani przy ich wyborze";"Wcale";"W najwy¿szym stopniu";0;10;178;6,461;2,489
"pomarancza.miekkosc";109;"pomarancza.miekkosc";"W jakim stopniu miêkkoœæ pomarañczy jest wa¿na dla Pana Pani przy ich wyborze ";"Wcale";"W najwy¿szym stopniu";2;10;178;7,264;1,872
"pomarancza.kwasnosc";110;"pomarancza.kwasnosc";"Jakie pomarañcze Pan Pani wybiera ze wzglêdu na smak ";"S³odkie";"Kwaœne";1;7;178;2,747;1,663
"pomarancza.spozycie";111;"pomarancza.spozycie";"Spo¿ycie pomarañczy";"Nigdy";"2-3 razy dziennie";0;1;195;0,123;0,153
"pomarancza.okres";112;"pomarancza.okres";"Sezonowoœæ/promocja przy zakupie";"Niezale¿nie od ceny i sezonu";"Zale¿nie od ceny i sezonu";0;1;195;0,462;0,5
"pomarancza.sklep";113;"pomarancza.sklep";"Miejsce zakupu";"Z ogródka/bezpoœrednio od rolnika";"Hipermarket/supermarket";0,25;1;178;0,76;0,25
"pomarancza.obrobka";114;"pomarancza.obrobka";"Czy Pana Pani zdaniem pomarañcze s¹ trudne w obróbce ";"Zdecydowanie nie";"Zdecydowanie tak";1;5;195;2,41;1,165
"pomarancza.potrawy";115;"pomarancza.potrawy";"Czy Pana Pani zdaniem pomarañcze nadaj¹ siê do przygotowania wielu potraw ";"Zdecydowanie nie";"Zdecydowanie tak";1;5;195;2,559;1,089
"pomarancza.zdrowotnosc";116;"pomarancza.zdrowotnosc";"Czy Pana Pani zdaniem pomarañcze maj¹ korzystny wp³yw na zdrowie ";"Zdecydowanie nie";"Zdecydowanie tak";3;5;195;4,354;0,668
"pomarancza.smak";117;"pomarancza.smak";"Czy Pana Pani zdaniem pomarañcze dostêpne na polskim rynku s¹ smaczne ";"Zdecydowanie nie";"Zdecydowanie tak";1;5;195;3,851;0,87
"pomarancza.jakosc";118;"pomarancza.jakosc";"Czy Pana Pani zdaniem pomarañcze dostêpne na polskim rynku maj¹ dobr¹ jakoœæ ";"Zdecydowanie nie";"Zdecydowanie tak";1;5;195;3,728;0,845
